"colony","origin","trait","mean_diff_RL","n_pairs","t_stat","t_pvalue","wilcox_stat","wilcox_pvalue","t_pvalue_bonf","t_pvalue_holm","t_pvalue_bh","wilcox_pvalue_bonf","wilcox_pvalue_holm","wilcox_pvalue_bh"
"COY01","Coyhaique","nerv01",-0.00604827147474748,99,-1.90976977669528,0.0590871889030505,1956,0.0703399563894661,1,0.945395022448809,0.0675282158892006,1,1,0.0796301393088296
"COY02","Coyhaique","nerv01",-0.0187846557244898,98,-6.43982253570979,4.59190426705894e-09,844,3.53783088536461e-08,5.51028512047073e-07,2.6173854322236e-07,8.60982050073552e-09,4.24539706243753e-06,2.05194191351147e-06,6.73136011443288e-08
"COY03","Coyhaique","nerv01",-0.0260145957979798,99,-8.23595728694579,7.93833259488285e-13,594.5,8.78400120271096e-11,9.52599911385942e-11,6.43004940185511e-11,2.38149977846485e-12,1.05408014432532e-08,7.11504097419588e-09,2.63520036081329e-10
"COY04","Coyhaique","nerv01",-0.0134216983076923,78,-4.18035282717545,7.62572763519277e-05,681,1.88185507749781e-05,0.00915087316223133,0.0035840919885406,0.000123660448138261,0.00225822609299737,0.000978564640298859,3.27279143912662e-05
"COY05","Coyhaique","nerv01",-0.0145122759690722,97,-4.8811754767566,4.19444329122019e-06,1156,1.13431195349287e-05,0.000503333194946423,0.00022230549443467,7.4019587492121e-06,0.00136117434419144,0.000601185335351219,2.00172697675212e-05
"COY06","Coyhaique","nerv01",-0.01233995846875,64,-3.76806295237057,0.000364719257701236,483,0.000197967287876889,0.0437663109241483,0.0164123665965556,0.000572563756183444,0.0237560745452267,0.00910649524233689,0.000316747660603022
"COY07","Coyhaique","nerv01",-0.0116018850128205,78,-3.63770973270449,0.000495275880484074,853,0.000622133494923139,0.0594331056580889,0.0208015869803311,0.000752317793140366,0.0746560193907766,0.0268766985389434,0.000957128453727906
"COY08","Coyhaique","nerv01",-0.0200647281,100,-6.48920511686402,3.44261008346074e-09,922,3.59005872769754e-08,4.13113210015289e-07,1.99671384840723e-07,6.55735253992522e-09,4.30807047323704e-06,2.05194191351147e-06,6.73136011443288e-08
"COY09","Coyhaique","nerv01",-0.0117697373636364,99,-4.23310499378722,5.19895101962225e-05,1396,0.000167031298940538,0.0062387412235467,0.00249549648941868,8.54622085417356e-05,0.0200437558728646,0.00785047105020529,0.000270861565849521
"COY10","Coyhaique","nerv01",-0.0236533218854167,96,-7.44727671647962,4.31910934121387e-11,646,8.01028626769726e-10,5.18293120945664e-09,3.15294981908613e-09,1.07977733530347e-10,9.61234352123671e-08,5.92761183809597e-08,2.04517947260356e-09
"COY11","Coyhaique","nerv01",-0.02618415523,100,-9.30754083330736,3.54447330171625e-15,492,2.78048163912153e-12,4.2533679620595e-13,3.1191365055103e-13,1.28889938244227e-14,3.33657796694583e-10,2.58584792438302e-10,1.19163498819494e-11
"COY12","Coyhaique","nerv01",-0.02413743776,100,-8.74562281030467,5.91431673279159e-14,565,1.61248578462249e-11,7.0971800793499e-12,4.90888288821702e-12,1.86767896824997e-13,1.93498294154698e-09,1.38673777477534e-09,5.52852269013424e-11
"RPR01","Ribeirão Preto","nerv01",-0.01165,74,-2.61363614898708,0.0108734932952816,913,0.0106629602023407,1,0.29309593518926,0.0137349388993031,1,0.309225845867881,0.0139082089595749
"RPR02","Ribeirão Preto","nerv01",0.0207310011025641,78,7.39000368125095,1.50606773229781e-10,2735,2.73070902904981e-09,1.80728127875737e-08,1.05424741260847e-08,3.54368878187721e-10,3.27685083485977e-07,1.91149632033486e-07,6.42519771541131e-09
