colony,origin,trait,mean_diff_RL,n_pairs,t_stat,t_pvalue,wilcox_stat,wilcox_pvalue,t_pvalue_bonf,t_pvalue_holm,t_pvalue_bh,wilcox_pvalue_bonf,wilcox_pvalue_holm,wilcox_pvalue_bh
COY01,Coyhaique,nerv01,-0.006048271474747483,99,-1.9097697766952761,0.059087188903050515,1956.0,0.07033995638946614,1.0,0.9453950224488082,0.06752821588920059,1.0,1.0,0.07963013930882959
COY02,Coyhaique,nerv01,-0.018784655724489795,98,-6.4398225357097925,4.591904267058964e-09,844.0,3.537830885364591e-08,5.510285120470756e-07,2.6173854322236094e-07,8.609820500735557e-09,4.245397062437509e-06,2.0519419135114627e-06,6.731360114432905e-08
COY03,Coyhaique,nerv01,-0.026014595797979812,99,-8.23595728694579,7.938332594882821e-13,594.5,8.784001202710885e-11,9.525999113859384e-11,6.430049401855084e-11,2.3814997784648465e-12,1.0540801443253062e-08,7.115040974195817e-09,2.6352003608132657e-10
COY04,Coyhaique,nerv01,-0.013421698307692308,78,-4.180352827175449,7.625727635192784e-05,681.0,1.881855077497804e-05,0.009150873162231342,0.0035840919885406085,0.00012366044813826135,0.002258226092997365,0.0009785646402988581,3.2727914391266155e-05
COY05,Coyhaique,nerv01,-0.014512275969072175,97,-4.881175476756602,4.194443291220202e-06,1156.0,1.1343119534928652e-05,0.0005033331949464243,0.0002223054944346707,7.401958749212121e-06,0.0013611743441914383,0.0006011853353512185,2.0017269767521152e-05
COY06,Coyhaique,nerv01,-0.012339958468750023,64,-3.768062952370573,0.0003647192577012364,483.0,0.0001979672878768887,0.043766310924148365,0.016412366596555636,0.000572563756183445,0.023756074545226644,0.00910649524233688,0.0003167476606030219
COY07,Coyhaique,nerv01,-0.011601885012820504,78,-3.6377097327044874,0.0004952758804840743,853.0,0.0006221334949231386,0.05943310565808892,0.020801586980331122,0.0007523177931403661,0.07465601939077662,0.026876698538943387,0.0009571284537279055
COY08,Coyhaique,nerv01,-0.020064728100000012,100,-6.489205116864022,3.442610083460737e-09,922.0,3.5900587276975495e-08,4.1311321001528844e-07,1.9967138484072274e-07,6.557352539925213e-09,4.308070473237059e-06,2.0519419135114627e-06,6.731360114432905e-08
COY09,Coyhaique,nerv01,-0.011769737363636368,99,-4.233104993787222,5.198951019622257e-05,1396.0,0.0001670312989405379,0.006238741223546708,0.0024954964894186834,8.546220854173574e-05,0.020043755872864548,0.007850471050205282,0.0002708615658495209
COY10,Coyhaique,nerv01,-0.02365332188541668,96,-7.4472767164796165,4.319109341213843e-11,646.0,8.010286267697197e-10,5.182931209456611e-09,3.152949819086105e-09,1.0797773353034606e-10,9.612343521236636e-08,5.9276118380959254e-08,2.0451794726035395e-09
